# STATION: KIGQ
# STATION NAME: Lansing Municipal Airport
# LATITUDE: 41.54125
# LONGITUDE: -87.52822
# ELEVATION [ft]: 607
# STATE: IL
Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,precip_accum_24_hour_set_1,visibility_set_1,metar_remark_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,ceiling_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,weather_condition_set_1d
,,INHG,Fahrenheit,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,code,code,Inches,Inches,code,code,Inches,Inches,Statute miles,text,text,Fahrenheit,Fahrenheit,Feet,Fahrenheit,Fahrenheit,Fahrenheit,Fahrenheit,Code,INHG,INHG,Fahrenheit,Code
KIGQ,10/01/2011 00:15 UTC,29.44,49.28,,84.99,4.61,360.0,,13.0,484.0,,,343.0,393.0,,,10.0,,,,,3400.0,,,44.91,,N,28.8,28.61,,Light Rain
KIGQ,10/01/2011 00:35 UTC,29.44,50.18,,79.96,12.66,10.0,20.71,,,,,323.0,404.0,,,10.0,,,,,3200.0,,,44.17,,N,28.8,28.62,,Overcast
KIGQ,10/01/2011 00:55 UTC,29.45,50.36,,76.22,13.8,20.0,20.71,,493.0,,,322.0,373.0,,,10.0,,,,,3700.0,,,43.08,,NNE,28.81,28.66,,Mostly Cloudy
KIGQ,10/01/2011 01:15 UTC,29.46,50.54,,74.16,17.27,20.0,24.16,,604.0,,,323.0,403.0,,,10.0,,,,,3200.0,,,42.53,,NNE,28.82,28.69,,Overcast
KIGQ,10/01/2011 01:35 UTC,29.46,50.54,,74.67,11.5,10.0,23.02,,473.0,,,322.0,403.0,,,10.0,,,,,4000.0,,,42.71,,N,28.82,28.68,,Mostly Cloudy
KIGQ,10/01/2011 01:55 UTC,29.47,50.36,,74.14,13.8,10.0,23.02,,503.0,,,302.0,413.0,,,10.0,,,,,4100.0,,,42.35,,N,28.83,28.7,,Mostly Cloudy
KIGQ,10/01/2011 02:15 UTC,29.47,50.72,,70.66,14.97,20.0,24.16,,503.0,,,322.0,403.0,,,10.0,,,,,4000.0,,,41.44,,NNE,28.83,28.72,,Mostly Cloudy
KIGQ,10/01/2011 02:35 UTC,29.47,50.36,,69.16,11.5,10.0,27.63,,503.0,,,342.0,422.0,,,10.0,,,,,5000.0,,,40.53,,N,28.83,28.75,,Mostly Cloudy
KIGQ,10/01/2011 02:55 UTC,29.47,50.18,,67.23,12.66,360.0,23.02,,503.0,,,362.0,442.0,,,10.0,,,,,5000.0,,,39.63,,N,28.83,28.77,,Mostly Cloudy
KIGQ,10/01/2011 03:15 UTC,29.47,50.36,,66.32,14.97,10.0,33.38,,653.0,,,362.0,442.0,,,10.0,,,,,6500.0,,,39.45,,N,28.83,28.78,,Mostly Cloudy
KIGQ,10/01/2011 03:35 UTC,29.47,50.36,,65.85,13.8,10.0,21.85,,653.0,,,382.0,493.0,,,10.0,,,,,4900.0,,,39.26,,N,28.83,28.78,,Mostly Cloudy
KIGQ,10/01/2011 03:55 UTC,29.47,50.18,,68.18,18.41,20.0,25.32,13.0,504.0,,,302.0,403.0,,,10.0,,,,,4000.0,,,39.99,,NNE,28.83,28.76,,Light Rain
KIGQ,10/01/2011 04:15 UTC,29.47,49.46,,71.02,13.8,10.0,21.85,,704.0,,,322.0,433.0,,,10.0,,,,,4300.0,,,40.36,,N,28.83,28.76,,Overcast
KIGQ,10/01/2011 04:35 UTC,29.47,49.1,,72.48,16.11,360.0,24.16,,503.0,,,322.0,422.0,,,10.0,,,,,5000.0,,,40.54,,N,28.83,28.76,,Mostly Cloudy
KIGQ,10/01/2011 04:55 UTC,29.47,48.2,,76.02,12.66,10.0,21.85,13.0,604.0,,,252.0,313.0,,,7.0,,,,,3100.0,,,40.92,,N,28.83,28.76,,Light Rain
KIGQ,10/01/2011 05:15 UTC,29.47,47.66,,81.44,16.11,20.0,24.16,,484.0,,,283.0,343.0,,,10.0,,,,,2800.0,,,42.2,,NNE,28.83,28.73,,Overcast
KIGQ,10/01/2011 05:35 UTC,29.47,48.2,,76.02,13.8,20.0,26.46,,504.0,,,303.0,403.0,,,10.0,,,,,3000.0,,,40.92,,NNE,28.83,28.76,,Overcast
KIGQ,10/01/2011 05:55 UTC,29.47,48.56,,69.93,13.8,20.0,23.02,,504.0,,,322.0,443.0,,,10.0,,,55.94,46.76,4400.0,,,39.09,,NNE,28.83,28.8,,Overcast
KIGQ,10/01/2011 06:15 UTC,29.47,48.38,,71.9,14.97,10.0,19.57,,474.0,,,302.0,393.0,,,10.0,,,,,3900.0,,,39.64,,N,28.83,28.79,,Overcast
KIGQ,10/01/2011 06:35 UTC,29.48,47.84,,74.93,14.97,20.0,19.57,13.0,504.0,,,322.0,403.0,,,10.0,,,,,4000.0,,,40.19,,NNE,28.84,28.79,,Light Rain
KIGQ,10/01/2011 06:55 UTC,29.48,47.48,,72.82,9.22,20.0,23.02,,503.0,,,332.0,412.0,,,10.0,,,,,5000.0,,,39.1,,NNE,28.84,28.82,,Mostly Cloudy
KIGQ,10/01/2011 07:15 UTC,29.48,48.2,,70.88,12.66,20.0,23.02,,,,,332.0,474.0,,,10.0,,,,,4700.0,,,39.1,,NNE,28.84,28.81,,Overcast
KIGQ,10/01/2011 07:35 UTC,29.48,48.56,,69.93,12.66,20.0,20.71,,474.0,,,332.0,423.0,,,10.0,,,,,4200.0,,,39.09,,NNE,28.84,28.81,,Overcast
KIGQ,10/01/2011 07:55 UTC,29.48,48.38,,67.97,16.11,20.0,23.02,,,,,403.0,494.0,,,10.0,,,,,4000.0,,,38.19,,NNE,28.84,28.83,,Overcast
KIGQ,10/01/2011 08:15 UTC,29.48,48.92,,64.29,9.22,30.0,20.71,,,,,363.0,434.0,,,10.0,,,,,3600.0,,,37.27,,NNE,28.84,28.85,,Overcast
KIGQ,10/01/2011 08:35 UTC,29.48,49.1,,66.63,14.97,20.0,25.32,,,,,363.0,434.0,,,10.0,,,,,3600.0,,,38.36,,NNE,28.84,28.82,,Overcast
KIGQ,10/01/2011 08:55 UTC,29.49,49.1,,64.32,11.5,20.0,21.85,,,,,373.0,434.0,,,10.0,,,,,3700.0,,,37.45,,NNE,28.85,28.85,,Overcast
KIGQ,10/01/2011 09:15 UTC,29.5,49.1,,61.2,9.22,20.0,23.02,,,,,383.0,444.0,,,10.0,,,,,3800.0,,,36.18,,NNE,28.86,28.89,,Overcast
KIGQ,10/01/2011 09:35 UTC,29.51,49.1,,60.76,12.66,30.0,24.16,,,,,434.0,,,,10.0,,,,,4300.0,,,36.0,,NNE,28.87,28.9,,Overcast
KIGQ,10/01/2011 09:55 UTC,29.51,49.1,,62.08,12.66,20.0,18.41,,,,,383.0,454.0,,,10.0,,,,,3800.0,,,36.55,,NNE,28.87,28.89,,Overcast
KIGQ,10/01/2011 10:15 UTC,29.52,49.1,,62.96,13.8,20.0,23.02,,,,,383.0,454.0,,,10.0,,,,,3800.0,,,36.91,,NNE,28.88,28.89,,Overcast
KIGQ,10/01/2011 10:35 UTC,29.52,49.1,,63.41,8.05,10.0,19.57,,,,,404.0,,,,10.0,,,,,4000.0,,,37.09,,N,28.88,28.89,,Overcast
KIGQ,10/01/2011 10:55 UTC,29.53,49.28,,64.8,11.5,30.0,18.41,,,,,352.0,414.0,,,10.0,,,,,4100.0,,,37.82,,NNE,28.89,28.88,,Overcast
KIGQ,10/01/2011 11:15 UTC,29.54,49.28,,65.26,10.36,30.0,23.02,,,,,384.0,,,,10.0,,,,,3800.0,,,38.0,,NNE,28.9,28.89,,Overcast
KIGQ,10/01/2011 11:35 UTC,29.54,49.1,,64.77,13.8,10.0,18.41,,,,,384.0,,,,10.0,,,,,3800.0,,,37.63,,N,28.9,28.9,,Overcast
KIGQ,10/01/2011 11:55 UTC,29.54,49.1,,62.96,17.27,30.0,23.02,,,,,384.0,,,0.18,10.0,,,55.94,46.76,3800.0,,,36.91,,NNE,28.9,28.91,,Overcast
KIGQ,10/01/2011 12:15 UTC,29.55,48.74,,67.53,11.5,30.0,19.57,,,,,384.0,,,,10.0,,,,,3800.0,,,38.36,,NNE,28.91,28.9,,Overcast
KIGQ,10/01/2011 12:55 UTC,29.57,48.2,,66.05,10.36,20.0,24.16,,,,,344.0,,,,10.0,,,,,3400.0,,,37.28,,NNE,28.93,28.94,,Overcast
KIGQ,10/01/2011 13:15 UTC,29.58,48.38,,67.01,13.8,40.0,23.02,,,,,324.0,,,,10.0,,,,,3200.0,,,37.82,,NE,28.94,28.94,,Overcast
KIGQ,10/01/2011 13:35 UTC,29.59,48.2,,66.05,16.11,40.0,20.71,,,,,323.0,,,,10.0,,,,,3200.0,,,37.28,,NE,28.95,28.96,,Mostly Cloudy
KIGQ,10/01/2011 13:55 UTC,29.59,48.92,,64.75,17.27,10.0,24.16,,,,,323.0,,,,10.0,,,,,3200.0,,,37.45,,N,28.95,28.95,,Mostly Cloudy
KIGQ,10/01/2011 14:15 UTC,29.6,48.02,,66.03,16.11,20.0,20.71,,,,,324.0,,,,10.0,,,,,3200.0,,,37.1,,NNE,28.96,28.98,,Overcast
KIGQ,10/01/2011 14:35 UTC,29.61,48.2,,66.05,16.11,10.0,19.57,,,,,304.0,,,,10.0,,,,,3000.0,,,37.28,,N,28.97,28.98,,Overcast
KIGQ,10/01/2011 14:55 UTC,29.62,48.74,,66.12,13.8,20.0,23.02,,,,,304.0,,,,10.0,,,,,3000.0,,,37.82,,NNE,28.98,28.98,,Overcast
KIGQ,10/01/2011 15:15 UTC,29.62,49.28,,65.26,14.97,20.0,25.32,,,,,304.0,,,,10.0,,,,,3000.0,,,38.0,,NNE,28.98,28.97,,Overcast
KIGQ,10/01/2011 15:35 UTC,29.63,49.64,,63.93,14.97,30.0,23.02,,,,,303.0,,,,10.0,,,,,3000.0,,,37.81,,NNE,28.99,28.98,,Mostly Cloudy
KIGQ,10/01/2011 15:55 UTC,29.63,50.0,,66.27,14.97,30.0,23.02,,,,,303.0,,,,10.0,,,,,3000.0,,,39.08,,NNE,28.99,28.95,,Mostly Cloudy
KIGQ,10/01/2011 16:15 UTC,29.63,50.54,,63.6,16.11,30.0,26.46,,,,,304.0,,,,10.0,,,,,3000.0,,,38.53,,NNE,28.99,28.96,,Overcast
KIGQ,10/01/2011 16:35 UTC,29.63,51.08,,63.23,13.8,10.0,19.57,,,,,303.0,,,,10.0,,,,,3000.0,,,38.9,,N,28.99,28.95,,Mostly Cloudy
KIGQ,10/01/2011 16:55 UTC,29.63,51.44,,61.52,12.66,10.0,24.16,,,,,303.0,,,,10.0,,,,,3000.0,,,38.53,,N,28.99,28.95,,Mostly Cloudy
KIGQ,10/01/2011 17:15 UTC,29.63,51.62,,61.11,14.97,30.0,23.02,,,,,302.0,,,,10.0,,,,,,,,38.53,,NNE,28.99,28.95,,Partly Cloudy
KIGQ,10/01/2011 17:35 UTC,29.62,51.62,,62.41,14.97,20.0,21.85,,,,,292.0,,,,10.0,,,,,,,,39.07,,NNE,28.98,28.93,,Partly Cloudy
KIGQ,10/01/2011 17:55 UTC,29.62,52.34,,62.51,11.5,360.0,18.41,,,,,292.0,,,,10.0,,,55.94,46.76,,,,39.8,,N,28.98,28.91,,Partly Cloudy
KIGQ,10/01/2011 18:15 UTC,29.62,52.52,,61.66,11.5,10.0,20.71,,,,,292.0,,,,10.0,,,,,,,,39.61,,N,28.98,28.91,,Partly Cloudy
KIGQ,10/01/2011 18:35 UTC,29.61,52.52,,62.97,14.97,10.0,25.32,,,,,292.0,,,,10.0,,,,,,,,40.16,,N,28.97,28.88,,Partly Cloudy
KIGQ,10/01/2011 18:55 UTC,29.61,52.52,,62.97,12.66,360.0,21.85,,,,,292.0,,,,10.0,,,,,,,,40.16,,N,28.97,28.88,,Partly Cloudy
KIGQ,10/01/2011 19:15 UTC,29.6,53.06,,61.74,17.27,20.0,25.32,,,,,312.0,,,,10.0,,,,,,,,40.16,,NNE,28.96,28.87,,Partly Cloudy
KIGQ,10/01/2011 19:35 UTC,29.61,53.06,,61.74,14.97,10.0,23.02,,,,,312.0,,,,10.0,,,,,,,,40.16,,N,28.97,28.88,,Partly Cloudy
KIGQ,10/01/2011 19:55 UTC,29.6,53.06,,62.61,11.5,350.0,21.85,,,,,292.0,,,,10.0,,,,,,,,40.52,,N,28.96,28.86,,Partly Cloudy
KIGQ,10/01/2011 20:15 UTC,29.6,53.06,,61.31,13.8,360.0,24.16,,,,,302.0,,,,10.0,,,,,,,,39.98,,N,28.96,28.88,,Partly Cloudy
KIGQ,10/01/2011 20:35 UTC,29.6,52.7,,61.69,19.57,10.0,26.46,,,,,302.0,,,,10.0,,,,,,,,39.8,,N,28.96,28.88,,Partly Cloudy
KIGQ,10/01/2011 20:55 UTC,29.6,52.34,,62.95,14.97,10.0,21.85,,,,,1.0,,,,10.0,,,,,,,,39.98,,N,28.96,28.88,,Clear
KIGQ,10/01/2011 21:15 UTC,29.6,52.34,,63.39,18.41,20.0,24.16,,,,,1.0,,,,10.0,,,,,,,,40.16,,NNE,28.96,28.88,,Clear
KIGQ,10/01/2011 21:35 UTC,29.6,51.8,,66.49,13.8,360.0,24.16,,,,,1.0,,,,10.0,,,,,,,,40.89,,N,28.96,28.86,,Clear
KIGQ,10/01/2011 21:55 UTC,29.6,51.44,,66.45,17.27,10.0,23.02,,,,,1.0,,,,10.0,,,,,,,,40.53,,N,28.96,28.87,,Clear
KIGQ,10/01/2011 22:15 UTC,29.6,51.26,,67.83,10.36,10.0,25.32,,,,,262.0,,,,10.0,,,,,,,,40.89,,N,28.96,28.87,,Partly Cloudy
KIGQ,10/01/2011 22:35 UTC,29.6,50.9,,69.22,12.66,20.0,20.71,,,,,1.0,,,,10.0,,,,,,,,41.07,,NNE,28.96,28.86,,Clear
KIGQ,10/01/2011 22:55 UTC,29.6,50.54,,70.64,12.66,10.0,21.85,,,,,1.0,,,,10.0,,,,,,,,41.26,,N,28.96,28.86,,Clear
KIGQ,10/01/2011 23:15 UTC,29.6,50.18,,71.1,9.22,20.0,17.27,,,,,1.0,,,,10.0,,,,,,,,41.08,,NNE,28.96,28.87,,Clear
KIGQ,10/01/2011 23:35 UTC,29.59,49.64,,71.04,10.36,10.0,,,,,,1.0,,,,10.0,,,,,,,,40.54,,N,28.95,28.88,,Clear
KIGQ,10/01/2011 23:55 UTC,29.59,49.28,,72.0,11.5,360.0,16.11,,,,,1.0,,,,10.0,,,55.94,46.76,,,,40.54,,N,28.95,28.88,,Clear
KIGQ,10/02/2011 00:15 UTC,29.59,49.28,,69.04,10.36,10.0,17.27,,,,,1.0,,,,10.0,,,,,,,,39.45,,N,28.95,28.91,,Clear
KIGQ,10/02/2011 00:35 UTC,29.59,49.64,,61.71,9.22,20.0,,,,,,1.0,,,,10.0,,,,,,,,36.91,,NNE,28.95,28.96,,Clear
KIGQ,10/02/2011 00:55 UTC,29.59,49.46,,60.38,8.05,20.0,,,,,,1.0,,,,10.0,,,,,,,,36.18,,NNE,28.95,28.98,,Clear
KIGQ,10/02/2011 01:15 UTC,29.58,49.46,,60.81,6.91,20.0,,,,,,1.0,,,,10.0,,,,,,,,36.36,,NNE,28.94,28.96,,Clear
KIGQ,10/02/2011 01:35 UTC,29.58,49.1,,62.96,4.61,360.0,,,,,,1.0,,,,10.0,,,,,,,,36.91,,N,28.94,28.96,,Clear
KIGQ,10/02/2011 01:55 UTC,29.58,48.56,,67.99,3.44,360.0,,,,,,1.0,,,,10.0,,,,,,,,38.37,,N,28.94,28.93,,Clear
KIGQ,10/02/2011 02:15 UTC,29.58,48.74,,73.98,3.44,360.0,,,,,,1.0,,,,10.0,,,,,,,,40.73,,N,28.94,28.87,,Clear
KIGQ,10/02/2011 02:35 UTC,29.58,48.38,,79.82,3.44,320.0,,,,,,1.0,,,,10.0,,,,,,,,42.37,,NW,28.94,28.83,,Clear
KIGQ,10/02/2011 02:55 UTC,29.58,47.3,,83.7,3.44,330.0,,,,,,1.0,,,,10.0,,,,,,,,42.56,,NNW,28.94,28.84,,Clear
KIGQ,10/02/2011 03:15 UTC,29.58,46.94,,86.62,0.0,0.0,,,,,,1.0,,,,10.0,,,,,,,,43.11,,N,28.94,28.82,,Clear
KIGQ,10/02/2011 03:35 UTC,29.58,46.58,,89.02,0.0,0.0,,,,,,1.0,,,,10.0,,,,,,,,43.48,,N,28.94,28.82,,Clear
KIGQ,10/02/2011 03:55 UTC,29.58,46.4,,93.4,0.0,0.0,,,,,,1.0,,,,10.0,,,,,,,,44.58,,N,28.94,28.79,,Clear
KIGQ,10/02/2011 04:15 UTC,29.58,46.76,,90.26,0.0,0.0,,,,,,1.0,,,,10.0,,,,,,,,44.03,,N,28.94,28.8,,Clear
KIGQ,10/02/2011 04:35 UTC,29.59,46.4,,93.4,0.0,0.0,,,,,,1.0,,,,10.0,,,,,,,,44.58,,N,28.95,28.8,,Clear
KIGQ,10/02/2011 04:55 UTC,29.58,46.4,,87.19,3.44,320.0,,,,,,1.0,,,,10.0,,,,,,,,42.75,,NW,28.94,28.84,,Clear
KIGQ,10/02/2011 05:15 UTC,29.58,45.32,,87.74,3.44,320.0,,,,,,1.0,,,,10.0,,,,,,,,41.86,,NW,28.94,28.87,,Clear
KIGQ,10/02/2011 05:35 UTC,29.58,44.6,,87.09,4.61,320.0,,,,,,1.0,,,,10.0,,,,,,,,40.95,,NW,28.94,28.9,,Clear
