# STATION: KIGQ
# STATION NAME: Lansing Municipal Airport
# LATITUDE: 41.54125
# LONGITUDE: -87.52822
# ELEVATION [ft]: 607
# STATE: IL
Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,precip_accum_24_hour_set_1,visibility_set_1,metar_remark_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,ceiling_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,weather_condition_set_1d
,,INHG,Fahrenheit,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,code,code,Inches,Inches,code,code,Inches,Inches,Statute miles,text,text,Fahrenheit,Fahrenheit,Feet,Fahrenheit,Fahrenheit,Fahrenheit,Fahrenheit,Code,INHG,INHG,Fahrenheit,Code
KIGQ,11/01/2011 00:15 UTC,29.47,42.26,,79.31,3.44,270.0,,,,,,1.0,,,,10.0,,,,,,,,36.24,,W,28.83,28.91,,Clear
KIGQ,11/01/2011 00:35 UTC,29.47,40.82,,82.66,0.0,0.0,,,,,,1.0,,,,10.0,,,,,,,,35.89,,N,28.83,28.92,,Clear
KIGQ,11/01/2011 00:55 UTC,29.47,39.92,,88.07,3.44,280.0,,,,,,1.0,,,,10.0,,,,,,,,36.63,,W,28.83,28.92,,Clear
KIGQ,11/01/2011 01:15 UTC,29.48,40.28,,86.85,3.44,280.0,,,,,,1.0,,,,10.0,,,,,,,,36.63,,W,28.84,28.92,,Clear
KIGQ,11/01/2011 01:35 UTC,29.49,41.0,,80.92,3.44,270.0,,,,,,1.0,,,,10.0,,,,,,,,35.52,,W,28.85,28.95,,Clear
KIGQ,11/01/2011 01:55 UTC,29.49,39.38,,87.42,0.0,0.0,,,,,,1.0,,,,10.0,,,,,,,,35.91,,N,28.85,28.96,,Clear
KIGQ,11/01/2011 02:15 UTC,29.49,38.48,,91.85,0.0,0.0,,,,,,1.0,,,,10.0,,,,,,,,36.29,,N,28.85,28.96,,Clear
KIGQ,11/01/2011 02:35 UTC,29.48,37.4,,93.13,0.0,0.0,,,,,,1.0,,,,10.0,,,,,,,,35.57,,N,28.84,28.97,,Clear
KIGQ,11/01/2011 02:55 UTC,29.49,37.22,,92.46,0.0,0.0,,,,,,1.0,,,,10.0,,,,,,,,35.21,,N,28.85,28.98,,Clear
KIGQ,11/01/2011 03:15 UTC,29.49,36.5,,95.13,0.0,0.0,,,,,,1.0,,,,10.0,,,,,,,,35.22,,N,28.85,28.99,,Clear
KIGQ,11/01/2011 03:35 UTC,29.5,36.14,,97.18,0.0,0.0,,31.0,,,,1.0,,,,5.0,,,,,,,,35.41,,N,28.86,29.0,,Mist
KIGQ,11/01/2011 03:55 UTC,29.5,34.88,,97.17,0.0,0.0,,31.0,,,,1.0,,,,5.0,,,,,,,,34.15,,N,28.86,29.03,,Mist
KIGQ,11/01/2011 04:15 UTC,29.5,33.98,,96.46,0.0,0.0,,31.0,,,,1.0,,,,4.0,,,,,,,,33.07,,N,28.86,29.05,,Mist
KIGQ,11/01/2011 04:35 UTC,29.5,34.16,,97.86,0.0,0.0,,31.0,,,,1.0,,,,5.0,,,,,,,,33.61,,N,28.86,29.04,,Mist
KIGQ,11/01/2011 04:55 UTC,29.49,35.6,,100.0,0.0,0.0,,31.0,,,,1.0,,,,5.0,,,,,,,,35.6,,N,28.85,28.99,,Mist
KIGQ,11/01/2011 05:15 UTC,29.49,34.34,,98.57,0.0,0.0,,31.0,,,,1.0,,,,2.5,,,,,,,,33.97,,N,28.85,29.03,,Mist
KIGQ,11/01/2011 05:35 UTC,29.49,34.7,,99.28,0.0,0.0,,31.0,,,,1.0,,,,3.0,,,,,,,,34.52,,N,28.85,29.02,,Mist
KIGQ,11/01/2011 05:55 UTC,29.49,34.7,,98.57,0.0,0.0,,31.0,,,,1.0,,,,4.0,,,72.86,32.0,,72.86,32.0,34.33,,N,28.85,29.02,,Mist
KIGQ,11/01/2011 06:15 UTC,29.5,34.7,,97.87,0.0,0.0,,31.0,,,,1.0,,,,3.0,,,,,,,,34.15,,N,28.86,29.03,,Mist
KIGQ,11/01/2011 06:35 UTC,29.5,33.8,,100.0,0.0,0.0,,31.0,,,,,,,,1.75,,,,,,,,33.8,,N,28.86,29.04,,Mist
KIGQ,11/01/2011 06:55 UTC,29.5,33.44,,99.28,0.0,0.0,,31.0,,,,1.0,,,,3.0,,,,,,,,33.26,,N,28.86,29.06,,Mist
KIGQ,11/01/2011 07:15 UTC,29.5,35.06,,97.87,0.0,0.0,,,,,,1.0,,,,7.0,,,,,,,,34.51,,N,28.86,29.02,,Clear
KIGQ,11/01/2011 07:35 UTC,29.5,35.06,,95.1,0.0,0.0,,31.0,,,,1.0,,,,5.0,,,,,,,,33.78,,N,28.86,29.04,,Mist
KIGQ,11/01/2011 07:55 UTC,29.5,33.98,,96.46,0.0,0.0,,31.0,,,,1.0,,,,4.0,,,,,,,,33.07,,N,28.86,29.05,,Mist
KIGQ,11/01/2011 08:15 UTC,29.5,33.62,,97.86,0.0,0.0,,31.0,,,,1.0,,,,5.0,,,,,,,,33.07,,N,28.86,29.06,,Mist
KIGQ,11/01/2011 08:35 UTC,29.51,34.88,,96.47,0.0,0.0,,31.0,,,,1.0,,,,5.0,,,,,,,,33.96,,N,28.87,29.04,,Mist
KIGQ,11/01/2011 08:55 UTC,29.5,34.7,,96.47,0.0,0.0,,31.0,,,,1.0,,,,5.0,,,,,,,,33.79,,N,28.86,29.04,,Mist
KIGQ,11/01/2011 09:15 UTC,29.5,34.7,,95.78,3.44,160.0,,31.0,,,,1.0,,,,5.0,,,,,,,,33.6,,SSE,28.86,29.04,,Mist
KIGQ,11/01/2011 09:35 UTC,29.5,33.62,,95.06,3.44,160.0,,31.0,,,,1.0,,,,5.0,,,,,,,,32.34,,SSE,28.86,29.07,,Mist
KIGQ,11/01/2011 09:55 UTC,29.5,32.9,,97.14,0.0,0.0,,31.0,,,,1.0,,,,5.0,,,,,,,,32.17,,N,28.86,29.08,,Mist
KIGQ,11/01/2011 10:15 UTC,29.5,33.8,,93.02,0.0,0.0,,31.0,,,,1.0,,,,5.0,,,,,,,,31.97,,N,28.86,29.07,,Mist
KIGQ,11/01/2011 10:35 UTC,29.51,33.98,,97.16,0.0,0.0,,31.0,,,,1.0,,,,5.0,,,,,,,,33.25,,N,28.87,29.06,,Mist
KIGQ,11/01/2011 10:55 UTC,29.51,34.16,,95.77,0.0,0.0,,31.0,,,,1.0,,,,5.0,,,,,,,,33.06,,N,28.87,29.06,,Mist
KIGQ,11/01/2011 11:15 UTC,29.51,34.34,,95.77,0.0,0.0,,31.0,,,,1.0,,,,5.0,,,,,,,,33.24,,N,28.87,29.06,,Mist
KIGQ,11/01/2011 11:35 UTC,29.51,34.34,,94.39,0.0,0.0,,,,,,1.0,,,,7.0,,,,,,,,32.88,,N,28.87,29.07,,Clear
KIGQ,11/01/2011 11:55 UTC,29.5,33.26,,95.06,0.0,0.0,,,,,,1.0,,,,7.0,,,72.86,32.0,,,,31.98,,N,28.86,29.08,,Clear
KIGQ,11/01/2011 12:15 UTC,29.5,34.16,,92.36,0.0,0.0,,,,,,1.0,,,,10.0,,,,,,,,32.15,,N,28.86,29.07,,Clear
KIGQ,11/01/2011 12:35 UTC,29.51,34.16,,92.36,4.61,160.0,,,,,,1.0,,,,10.0,,,,,,,,32.15,,SSE,28.87,29.08,,Clear
KIGQ,11/01/2011 12:55 UTC,29.51,34.7,,91.71,0.0,0.0,,,,,,1.0,,,,10.0,,,,,,,,32.5,,N,28.87,29.07,,Clear
KIGQ,11/01/2011 13:15 UTC,29.51,35.96,,90.44,3.44,140.0,,,,,,1.0,,,,10.0,,,,,,,,33.4,,SE,28.87,29.05,,Clear
KIGQ,11/01/2011 13:35 UTC,29.51,36.86,,88.55,3.44,130.0,,,,,,1.0,,,,10.0,,,,,,,,33.75,,SE,28.87,29.03,,Clear
KIGQ,11/01/2011 13:55 UTC,29.51,39.38,,86.18,3.44,140.0,,,,,,1.0,,,,10.0,,,,,,,,35.54,,SE,28.87,28.98,,Clear
KIGQ,11/01/2011 14:15 UTC,29.5,42.98,,78.25,5.75,160.0,,,,,,1.0,,,,10.0,,,,,,,,36.59,,SSE,28.86,28.93,,Clear
KIGQ,11/01/2011 14:35 UTC,29.51,45.68,,73.66,9.22,180.0,,,,,,1.0,,,,10.0,,,,,,,,37.66,,S,28.87,28.89,,Clear
KIGQ,11/01/2011 14:55 UTC,29.5,47.3,,69.78,12.66,170.0,,,,,,1.0,,,,10.0,,,,,,,,37.83,,S,28.86,28.87,,Clear
KIGQ,11/01/2011 15:15 UTC,29.5,49.1,,65.7,12.66,180.0,16.11,,,,,1.0,,,,10.0,,,,,,,,38.0,,S,28.86,28.85,,Clear
KIGQ,11/01/2011 15:35 UTC,29.5,50.72,,61.42,12.66,170.0,,,,,,1.0,,,,10.0,,,,,,,,37.81,,S,28.86,28.84,,Clear
KIGQ,11/01/2011 16:15 UTC,29.49,53.42,,56.0,16.11,180.0,,,,,,1.0,,,,10.0,,,,,,,,37.98,,S,28.85,28.81,,Clear
KIGQ,11/01/2011 16:35 UTC,29.48,55.04,,51.31,16.11,170.0,19.57,,,,,1.0,,,,10.0,,,,,,,,37.25,,S,28.84,28.8,,Clear
KIGQ,11/01/2011 16:55 UTC,29.48,56.3,,50.08,13.8,180.0,,,,,,1.0,,,,10.0,,,,,,,,37.79,,S,28.84,28.78,,Clear
KIGQ,11/01/2011 17:15 UTC,29.47,57.56,,48.53,12.66,180.0,,,,,,1.0,,,,10.0,,,,,,,,38.15,,S,28.83,28.76,,Clear
