# STATION: KIGQ
# STATION NAME: Lansing Municipal Airport
# LATITUDE: 41.54125
# LONGITUDE: -87.52822
# ELEVATION [ft]: 607
# STATE: IL
Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,precip_accum_24_hour_set_1,visibility_set_1,metar_remark_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,ceiling_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,weather_condition_set_1d
,,INHG,Fahrenheit,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,code,code,Inches,Inches,code,code,Inches,Inches,Statute miles,text,text,Fahrenheit,Fahrenheit,Feet,Fahrenheit,Fahrenheit,Fahrenheit,Fahrenheit,Code,INHG,INHG,Fahrenheit,Code
KIGQ,03/01/2015 00:15 UTC,30.55,21.2,6.8,53.07,5.75,130.0,,,,,,463.0,604.0,,,10.0,,,,,4600.0,,,6.59,,SE,29.89,30.43,,Overcast
KIGQ,03/01/2015 00:35 UTC,30.55,21.2,6.8,53.07,5.75,130.0,,,,,,353.0,424.0,,,10.0,,,,,3500.0,,,6.59,,SE,29.89,30.43,,Overcast
KIGQ,03/01/2015 00:55 UTC,30.56,19.4,10.4,67.42,5.75,140.0,,20.0,,,,263.0,354.0,,,7.0,,,,,2600.0,,,10.25,,SE,29.9,30.43,,Light Snow
KIGQ,03/01/2015 01:15 UTC,30.55,19.4,12.2,73.06,5.75,130.0,,20.0,,,,244.0,,,,3.0,,,,,2400.0,,,12.08,,SE,29.89,30.4,,Light Snow
KIGQ,03/01/2015 01:35 UTC,30.54,19.4,14.0,79.1,4.61,100.0,,20.0,,,,244.0,,,,3.0,,,,,2400.0,,,13.9,,E,29.88,30.38,,Light Snow
KIGQ,03/01/2015 01:55 UTC,30.54,19.4,14.0,79.1,4.61,110.0,,20.0,,,,224.0,,,,2.5,,,,,2200.0,,,13.9,,ESE,29.88,30.38,,Light Snow
KIGQ,03/01/2015 02:15 UTC,30.53,19.4,14.0,79.1,4.61,130.0,,20.0,,,,224.0,,,,2.5,,,,,2200.0,,,13.9,,SE,29.87,30.37,,Light Snow
KIGQ,03/01/2015 02:35 UTC,30.53,19.4,15.8,85.59,4.61,140.0,,20.0,434.0,,,222.0,293.0,,,4.0,,,,,2900.0,,,15.74,,SE,29.87,30.36,,Light Snow
KIGQ,03/01/2015 02:55 UTC,30.53,19.4,14.0,79.1,5.75,150.0,,20.0,,,,292.0,474.0,,,7.0,,,,,4700.0,,,13.9,,SSE,29.87,30.37,,Light Snow
KIGQ,03/01/2015 03:15 UTC,30.52,17.6,14.0,85.47,5.75,150.0,,20.0,,,,332.0,454.0,,,7.0,,,,,4500.0,,,13.93,,SSE,29.86,30.37,,Light Snow
