# STATION: KIGQ
# STATION NAME: Lansing Municipal Airport
# LATITUDE: 41.54125
# LONGITUDE: -87.52822
# ELEVATION [ft]: 607
# STATE: IL
Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,precip_accum_24_hour_set_1,visibility_set_1,metar_remark_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,ceiling_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,weather_condition_set_1d
,,INHG,Fahrenheit,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,code,code,Inches,Inches,code,code,Inches,Inches,Statute miles,text,text,Fahrenheit,Fahrenheit,Feet,Fahrenheit,Fahrenheit,Fahrenheit,Fahrenheit,Code,INHG,INHG,Fahrenheit,Code
KIGQ,10/01/2016 00:15 UTC,30.06,60.44,60.44,100.0,8.05,40.0,,1.0,,0.01,,93.0,134.0,,,7.0,,KIGQ 010015Z AUTO 04007KT 7SM RA BKN009 OVC013 16/16 A3006 RMK AO2  P0001 T01580158,,,900.0,,,60.44,,NE,29.41,28.51,,Rain
KIGQ,10/01/2016 00:35 UTC,30.06,60.26,60.26,100.0,9.22,50.0,,1.0,,0.01,,93.0,164.0,,,10.0,,KIGQ 010035Z AUTO 05008KT 10SM RA BKN009 OVC016 16/16 A3006 RMK AO2 P0001 T01570157,,,900.0,,,60.26,,NE,29.41,28.52,,Rain
KIGQ,10/01/2016 00:55 UTC,30.05,60.26,60.26,100.0,8.05,40.0,,1.0,,0.01,,134.0,,,,10.0,,KIGQ 010055Z AUTO 04007KT 10SM RA OVC013 16/16 A3005 RMK AO2 P0001  T01570157,,,1300.0,,,60.26,,NE,29.4,28.51,,Rain
KIGQ,10/01/2016 01:15 UTC,30.06,60.26,60.26,100.0,9.22,40.0,,13.0,,,,134.0,,,,10.0,,KIGQ 010115Z AUTO 04008KT 10SM -RA OVC013 16/16 A3006 RMK AO2  T01570157,,,1300.0,,,60.26,,NE,29.41,28.52,,Light Rain
KIGQ,10/01/2016 01:35 UTC,30.05,60.26,60.08,100.0,9.22,40.0,,13.0,264.0,,,153.0,193.0,,,10.0,,KIGQ 010135Z AUTO 04008KT 10SM -RA BKN015 BKN019 OVC026 16/16  A3005 RMK AO2 T01570156,,,1500.0,,,60.26,,NE,29.4,28.51,,Light Rain
KIGQ,10/01/2016 01:55 UTC,30.05,60.26,60.08,100.0,6.91,50.0,,13.0,,,,154.0,,,,10.0,,KIGQ 010155Z AUTO 05006KT 10SM -RA OVC015 16/16 A3005 RMK AO2  T01570156,,,1500.0,,,60.26,,NE,29.4,28.51,,Light Rain
KIGQ,10/01/2016 02:15 UTC,30.04,60.26,60.08,100.0,5.75,40.0,,1.0,,,,134.0,,,,10.0,,KIGQ 010215Z AUTO 04005KT 10SM RA OVC013 16/16 A3004 RMK AO2  T01570156,,,1300.0,,,60.26,,NE,29.39,28.5,,Rain
KIGQ,10/01/2016 02:35 UTC,30.04,60.44,60.08,100.0,6.91,50.0,,,,,,133.0,484.0,,,10.0,,KIGQ 010235Z AUTO 05006KT 10SM BKN013 OVC048 16/16 A3004 RMK AO2  T01580156,,,1300.0,,,60.44,,NE,29.39,28.49,,Overcast
KIGQ,10/01/2016 02:55 UTC,30.04,60.8,59.9,100.0,8.05,60.0,,,,,0.01,133.0,484.0,,,10.0,,KIGQ 010255Z AUTO 06007KT 10SM BKN013 OVC048 16/16 A3004 RMK AO2  60001 T01600155,,,1300.0,,,60.8,,ENE,29.39,28.46,,Overcast
