# STATION: KIGQ
# STATION NAME: Lansing Municipal Airport
# LATITUDE: 41.54125
# LONGITUDE: -87.52822
# ELEVATION [ft]: 607
# STATE: IL
Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,precip_accum_24_hour_set_1,visibility_set_1,metar_remark_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,ceiling_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,weather_condition_set_1d
,,INHG,Fahrenheit,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,code,code,Inches,Inches,code,code,Inches,Inches,Statute miles,text,text,Fahrenheit,Fahrenheit,Feet,Fahrenheit,Fahrenheit,Fahrenheit,Fahrenheit,Code,INHG,INHG,Fahrenheit,Code
KIGQ,06/01/2016 00:15 UTC,29.97,66.38,61.88,88.2,3.44,20.0,,,,,,702.0,852.0,,,10.0,,,,,,,,62.76,,NNE,29.32,28.21,,Partly Cloudy
KIGQ,06/01/2016 00:35 UTC,29.97,65.66,61.7,88.2,6.91,70.0,,,,,,1102.0,,,,10.0,,,,,,,,62.05,,ENE,29.32,28.26,,Partly Cloudy
KIGQ,06/01/2016 00:55 UTC,29.97,64.76,60.98,88.11,6.91,50.0,,,,,,1203.0,,,,10.0,,,,,12000.0,,,61.13,,NE,29.32,28.32,,Mostly Cloudy
KIGQ,06/01/2016 01:15 UTC,29.97,64.58,60.62,88.11,4.61,80.0,,,,,,1202.0,,,,10.0,,,,,,,,60.95,,E,29.32,28.34,,Partly Cloudy
KIGQ,06/01/2016 01:35 UTC,29.98,64.22,59.9,88.11,8.05,100.0,,,,,,1.0,,,,10.0,,,,,,,,60.6,,E,29.33,28.37,,Clear
KIGQ,06/01/2016 01:55 UTC,29.97,64.4,59.54,82.65,5.75,90.0,,,,,,1.0,,,,10.0,,,,,,,,58.97,,E,29.32,28.44,,Clear
KIGQ,06/01/2016 02:15 UTC,29.97,64.04,59.54,82.65,3.44,100.0,,,,,,1.0,,,,10.0,,,,,,,,58.62,,E,29.32,28.46,,Clear
KIGQ,06/01/2016 02:35 UTC,29.98,64.04,59.36,82.65,6.91,100.0,,,,,,802.0,,,,10.0,,,,,,,,58.62,,E,29.33,28.47,,Partly Cloudy
KIGQ,06/01/2016 02:55 UTC,29.98,64.4,59.36,82.65,5.75,90.0,,,,,,803.0,,,,10.0,,,,,8000.0,,,58.97,,E,29.33,28.45,,Mostly Cloudy
KIGQ,06/01/2016 03:15 UTC,29.98,64.76,59.0,82.65,3.44,70.0,,,,,,802.0,,,,10.0,,,,,,,,59.32,,ENE,29.33,28.43,,Partly Cloudy
KIGQ,06/01/2016 03:35 UTC,29.98,64.58,59.0,82.65,3.44,80.0,,,,,,1202.0,,,,10.0,,,,,,,,59.14,,E,29.33,28.44,,Partly Cloudy
KIGQ,06/01/2016 03:55 UTC,29.99,64.58,59.18,82.65,0.0,0.0,,,,,,1203.0,,,,10.0,,,,,12000.0,,,59.14,,N,29.34,28.45,,Mostly Cloudy
KIGQ,06/01/2016 04:15 UTC,29.98,64.58,59.36,82.65,0.0,0.0,,,,,,1203.0,,,,10.0,,,,,12000.0,,,59.14,,N,29.33,28.44,,Mostly Cloudy
KIGQ,06/01/2016 04:35 UTC,29.98,64.58,59.36,82.65,3.44,60.0,,,,,,1103.0,,,,10.0,,,,,11000.0,,,59.14,,ENE,29.33,28.44,,Mostly Cloudy
