# STATION: KIGQ
# STATION NAME: Lansing Municipal Airport
# LATITUDE: 41.54125
# LONGITUDE: -87.52822
# ELEVATION [ft]: 607
# STATE: IL
Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,precip_accum_24_hour_set_1,visibility_set_1,metar_remark_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,ceiling_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,weather_condition_set_1d
,,INHG,Fahrenheit,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,code,code,Inches,Inches,code,code,Inches,Inches,Statute miles,text,text,Fahrenheit,Fahrenheit,Feet,Fahrenheit,Fahrenheit,Fahrenheit,Fahrenheit,Code,INHG,INHG,Fahrenheit,Code
KIGQ,03/01/2016 00:15 UTC,30.0,33.8,28.4,80.34,19.57,40.0,23.02,,804.0,,,143.0,703.0,,,10.0,,,,,1400.0,,,28.31,24.98,NE,29.35,29.63,,Overcast
KIGQ,03/01/2016 00:35 UTC,30.01,32.0,26.6,80.19,17.27,40.0,23.02,,,,,142.0,803.0,,,10.0,,,,,8000.0,,,26.51,23.37,NE,29.36,29.67,,Mostly Cloudy
KIGQ,03/01/2016 00:55 UTC,30.01,32.0,26.6,80.19,14.97,40.0,19.57,,,,,142.0,,,,10.0,,,,,,,,26.51,24.1,NE,29.36,29.67,,Partly Cloudy
KIGQ,03/01/2016 01:15 UTC,30.01,32.0,24.8,74.41,16.11,40.0,21.85,,,,,142.0,752.0,,,10.0,,,,,,,,24.69,23.72,NE,29.36,29.69,,Partly Cloudy
KIGQ,03/01/2016 01:35 UTC,30.01,32.0,24.8,74.41,14.97,40.0,21.85,,,,,1202.0,,,,10.0,,,,,,,,24.69,24.1,NE,29.36,29.69,,Partly Cloudy
KIGQ,03/01/2016 01:55 UTC,30.01,32.0,24.8,74.41,14.97,50.0,18.41,,,,,1202.0,,,,10.0,,,,,,,,24.69,24.1,NE,29.36,29.69,,Partly Cloudy
KIGQ,03/01/2016 02:15 UTC,30.02,32.0,24.8,74.41,14.97,60.0,20.71,,,,,1.0,,,,10.0,,,,,,,,24.69,24.1,ENE,29.37,29.7,,Clear
KIGQ,03/01/2016 02:35 UTC,30.02,32.0,23.0,69.0,12.66,60.0,19.57,,,,,1202.0,,,,10.0,,,,,,,,22.86,24.93,ENE,29.37,29.72,,Partly Cloudy
KIGQ,03/01/2016 02:55 UTC,30.02,32.0,23.0,69.0,14.97,60.0,21.85,,,,,1.0,,,,10.0,,,,,,,,22.86,24.1,ENE,29.37,29.72,,Clear
