# STATION: KIGQ
# STATION NAME: Lansing Municipal Airport
# LATITUDE: 41.54125
# LONGITUDE: -87.52822
# ELEVATION [ft]: 607
# STATE: IL
Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,precip_accum_24_hour_set_1,visibility_set_1,metar_remark_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,ceiling_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,weather_condition_set_1d
,,INHG,Fahrenheit,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,code,code,Inches,Inches,code,code,Inches,Inches,Statute miles,text,text,Fahrenheit,Fahrenheit,Feet,Fahrenheit,Fahrenheit,Fahrenheit,Fahrenheit,Code,INHG,INHG,Fahrenheit,Code
KIGQ,02/01/2012 00:15 UTC,29.17,55.22,,75.13,17.27,220.0,23.02,,,,,374.0,,,,10.0,,,,,3700.0,,,47.41,,SW,28.54,28.22,,Overcast
KIGQ,02/01/2012 00:35 UTC,29.17,54.68,,78.72,17.27,210.0,25.32,13.0,,,,354.0,,,,10.0,,,,,3500.0,,,48.14,,SSW,28.54,28.2,,Light Rain
KIGQ,02/01/2012 00:55 UTC,29.18,54.5,,79.23,14.97,210.0,21.85,,,,,354.0,,,,10.0,,,,,3500.0,,,48.14,,SSW,28.55,28.21,,Overcast
KIGQ,02/01/2012 01:15 UTC,29.18,54.5,,79.77,13.8,220.0,,17.0,,,,354.0,,,,10.0,,,,,3500.0,,,48.32,,SW,28.55,28.2,,Light Drizzle
KIGQ,02/01/2012 01:35 UTC,29.19,53.96,,82.46,16.11,230.0,19.57,13.0,,,,334.0,,,,10.0,,,,,3300.0,,,48.69,,SW,28.56,28.21,,Light Rain
KIGQ,02/01/2012 01:55 UTC,29.19,53.24,,86.38,16.11,230.0,21.85,2.0,,,,314.0,,,,10.0,,,,,3100.0,,,49.24,,SW,28.56,28.19,,Drizzle
KIGQ,02/01/2012 02:15 UTC,29.19,51.8,,93.55,11.5,230.0,17.27,,804.0,,,313.0,423.0,,,10.0,,,,,3100.0,,,49.98,,SW,28.56,28.18,,Overcast
KIGQ,02/01/2012 02:35 UTC,29.19,51.98,,88.08,12.66,220.0,17.27,,,,,312.0,802.0,,,10.0,,,,,,,,48.52,,SW,28.56,28.23,,Partly Cloudy
KIGQ,02/01/2012 02:55 UTC,29.2,51.44,,89.25,9.22,220.0,,,,,,292.0,372.0,,,10.0,,,,,,,,48.35,,SW,28.57,28.25,,Partly Cloudy
KIGQ,02/01/2012 03:15 UTC,29.2,51.26,,91.06,10.36,230.0,,,,,,312.0,373.0,,,10.0,,,,,3700.0,,,48.71,,SW,28.57,28.24,,Mostly Cloudy
KIGQ,02/01/2012 03:35 UTC,29.2,50.72,,91.65,11.5,230.0,,,,,,323.0,394.0,,,10.0,,,,,3200.0,,,48.35,,SW,28.57,28.26,,Overcast
KIGQ,02/01/2012 03:55 UTC,29.21,50.9,,91.04,10.36,240.0,,,,,,324.0,,,,10.0,,,,,3200.0,,,48.35,,WSW,28.57,28.26,,Overcast
KIGQ,02/01/2012 04:15 UTC,29.21,51.08,,90.44,10.36,240.0,,,,,,322.0,,,,10.0,,,,,,,,48.35,,WSW,28.57,28.26,,Partly Cloudy
KIGQ,02/01/2012 04:35 UTC,29.22,50.9,,89.22,10.36,240.0,,,,,,1.0,,,,7.0,,,,,,,,47.81,,WSW,28.58,28.29,,Clear
KIGQ,02/01/2012 04:55 UTC,29.23,50.18,,89.79,10.36,250.0,,,,,,1.0,,,,7.0,,,,,,,,47.27,,WSW,28.59,28.32,,Clear
KIGQ,02/01/2012 05:15 UTC,29.23,48.92,,89.13,10.36,260.0,,,,,,1.0,,,,10.0,,,,,,,,45.82,,W,28.59,28.37,,Clear
KIGQ,02/01/2012 05:35 UTC,29.25,47.3,,88.44,10.36,270.0,,,,,,1.0,,,,10.0,,,,,,,,44.02,,W,28.61,28.46,,Clear
KIGQ,02/01/2012 05:55 UTC,29.25,46.58,,84.82,9.22,260.0,,,,,,1.0,,,,10.0,,,55.4,46.58,,56.48,41.9,42.21,,W,28.61,28.51,,Clear
KIGQ,02/01/2012 06:15 UTC,29.26,44.6,,87.09,8.05,260.0,,,,,,1.0,,,,10.0,,,,,,,,40.95,41.88,W,28.62,28.57,,Clear
KIGQ,02/01/2012 06:35 UTC,29.27,43.52,,86.42,8.05,260.0,,,,,,1.0,,,,10.0,,,,,,,,39.69,40.61,W,28.63,28.62,,Clear
KIGQ,02/01/2012 06:55 UTC,29.28,41.9,,87.55,6.91,270.0,,,,,,1.0,,,,10.0,,,,,,,,38.43,,W,28.64,28.67,,Clear
KIGQ,02/01/2012 07:15 UTC,29.29,41.18,,87.52,6.91,270.0,,,,,,1.0,,,,10.0,,,,,,,,37.71,,W,28.65,28.7,,Clear
KIGQ,02/01/2012 07:35 UTC,29.29,39.38,,90.59,5.75,260.0,,,,,,1.0,,,,10.0,,,,,,,,36.82,,W,28.65,28.73,,Clear
KIGQ,02/01/2012 07:55 UTC,29.3,39.38,,89.95,4.61,260.0,,,,,,1.0,,,,10.0,,,,,,,,36.64,,W,28.66,28.75,,Clear
KIGQ,02/01/2012 08:15 UTC,29.31,38.12,,91.18,3.44,250.0,,,,,,1.0,,,,10.0,,,,,,,,35.74,,WSW,28.67,28.78,,Clear
KIGQ,02/01/2012 08:35 UTC,29.31,39.2,,86.79,4.61,250.0,,,,,,1.0,,,,10.0,,,,,,,,35.55,,WSW,28.67,28.78,,Clear
KIGQ,02/01/2012 08:55 UTC,29.32,36.32,,93.1,4.61,260.0,,,,,,1.0,,,,10.0,,,,,,,,34.49,,W,28.68,28.83,,Clear
KIGQ,02/01/2012 09:15 UTC,29.33,36.68,,93.11,3.44,240.0,,,,,,1.0,,,,10.0,,,,,,,,34.85,,WSW,28.69,28.83,,Clear
KIGQ,02/01/2012 09:35 UTC,29.34,35.6,,93.08,4.61,260.0,,,,,,1.0,,,,10.0,,,,,,,,33.77,,W,28.7,28.87,,Clear
KIGQ,02/01/2012 09:55 UTC,29.35,35.06,,94.41,0.0,0.0,,,,,,1.0,,,,10.0,,,,,,,,33.6,,N,28.71,28.89,,Clear
KIGQ,02/01/2012 10:15 UTC,29.35,34.52,,94.4,5.75,270.0,,,,,,1.0,,,,10.0,,,,,,,,33.06,,W,28.71,28.9,,Clear
KIGQ,02/01/2012 10:35 UTC,29.36,34.88,,95.78,4.61,270.0,,,,,,1.0,,,,10.0,,,,,,,,33.78,,W,28.72,28.89,,Clear
KIGQ,02/01/2012 10:55 UTC,29.36,33.8,,100.0,4.61,290.0,,,,,,1.0,,,,7.0,,,,,,,,33.8,,WNW,28.72,28.9,,Clear
KIGQ,02/01/2012 11:15 UTC,29.37,32.9,,97.14,0.0,0.0,,,,,,1.0,,,,7.0,,,,,,,,32.17,,N,28.73,28.94,,Clear
KIGQ,02/01/2012 11:35 UTC,29.37,32.0,,99.28,6.91,270.0,,31.0,,,,1.0,,,,5.0,,,,,,,,31.82,,W,28.73,28.96,,Mist
KIGQ,02/01/2012 11:55 UTC,29.38,32.36,,98.56,5.75,270.0,,,,,,1.0,,,,7.0,,,46.4,32.0,,,,31.99,,W,28.74,28.96,,Clear
KIGQ,02/01/2012 12:15 UTC,29.39,32.9,,97.85,0.0,0.0,,31.0,,,,1.0,,,,5.0,,,,,,,,32.35,,N,28.75,28.96,,Mist
KIGQ,02/01/2012 12:35 UTC,29.4,33.08,,99.28,0.0,0.0,,31.0,,,,92.0,,,,5.0,,,,,,,,32.9,,N,28.76,28.96,,Mist
KIGQ,02/01/2012 12:55 UTC,29.4,32.72,,98.56,0.0,0.0,,31.0,,,,92.0,,,,5.0,,,,,,,,32.35,,N,28.76,28.97,,Mist
KIGQ,02/01/2012 13:15 UTC,29.41,33.62,,97.15,3.44,320.0,,31.0,,,,113.0,,,,5.0,,,,,1100.0,,,32.89,,NW,28.77,28.97,,Mist
KIGQ,02/01/2012 13:35 UTC,29.42,35.24,,95.1,0.0,0.0,,31.0,,,,114.0,,,,4.0,,,,,1100.0,,,33.96,,N,28.78,28.95,,Mist
KIGQ,02/01/2012 13:55 UTC,29.43,35.96,,93.76,0.0,0.0,,31.0,,,,94.0,,,,5.0,,,,,900.0,,,34.31,,N,28.79,28.95,,Mist
KIGQ,02/01/2012 14:15 UTC,29.43,36.5,,93.1,0.0,0.0,,31.0,,,,94.0,,,,5.0,,,,,900.0,,,34.67,,N,28.79,28.94,,Mist
KIGQ,02/01/2012 14:35 UTC,29.44,36.68,,91.78,0.0,0.0,,31.0,,,,94.0,,,,5.0,,,,,900.0,,,34.49,,N,28.8,28.95,,Mist
KIGQ,02/01/2012 14:55 UTC,29.45,36.86,,91.79,0.0,0.0,,31.0,,,,94.0,,,,5.0,,,,,900.0,,,34.67,,N,28.81,28.96,,Mist
KIGQ,02/01/2012 15:15 UTC,29.45,37.22,,90.5,3.44,360.0,,31.0,,,,94.0,,,,4.0,,,,,900.0,,,34.66,,N,28.81,28.95,,Mist
KIGQ,02/01/2012 15:35 UTC,29.46,37.4,,86.68,3.44,10.0,,31.0,,,,94.0,,,,5.0,,,,,900.0,,,33.74,,N,28.82,28.98,,Mist
KIGQ,02/01/2012 15:55 UTC,29.45,38.12,,89.89,3.44,30.0,,31.0,,,,94.0,,,,4.0,,,,,900.0,,,35.38,,NNE,28.81,28.93,,Mist
KIGQ,02/01/2012 16:15 UTC,29.45,38.3,,88.62,5.75,360.0,,31.0,,,,94.0,,,,5.0,,,,,900.0,,,35.19,,N,28.81,28.94,,Mist
KIGQ,02/01/2012 16:35 UTC,29.46,38.48,,86.13,0.0,0.0,,31.0,,,,114.0,,,,5.0,,,,,1100.0,,,34.64,,N,28.82,28.95,,Mist
KIGQ,02/01/2012 16:55 UTC,29.47,38.48,,86.13,0.0,0.0,,31.0,,,,114.0,,,,4.0,,,,,1100.0,,,34.64,,N,28.83,28.97,,Mist
KIGQ,02/01/2012 17:15 UTC,29.47,38.84,,86.15,0.0,0.0,,31.0,,,,114.0,,,,4.0,,,,,1100.0,,,35.0,,N,28.83,28.96,,Mist
KIGQ,02/01/2012 17:35 UTC,29.46,39.2,,86.79,0.0,0.0,,31.0,,,,114.0,,,,4.0,,,,,1100.0,,,35.55,,N,28.82,28.93,,Mist
KIGQ,02/01/2012 17:55 UTC,29.46,39.2,,86.79,0.0,0.0,,31.0,,,,114.0,,,,4.0,,,39.38,32.0,1100.0,,,35.55,,N,28.82,28.93,,Mist
KIGQ,02/01/2012 18:15 UTC,29.46,39.2,,80.78,0.0,0.0,,31.0,,,,134.0,,,,5.0,,,,,1300.0,,,33.72,,N,28.82,28.97,,Mist
KIGQ,02/01/2012 18:35 UTC,29.45,39.38,,82.56,0.0,0.0,,31.0,,,,132.0,,,,5.0,,,,,,,,34.45,,N,28.81,28.94,,Mist
KIGQ,02/01/2012 18:55 UTC,29.44,41.36,,80.37,0.0,0.0,,6.0,,,,153.0,,,,5.0,,,,,1500.0,,,35.7,,N,28.8,28.89,,Haze
KIGQ,02/01/2012 19:15 UTC,29.45,42.44,,77.1,3.44,170.0,,6.0,,,,153.0,,,,5.0,,,,,1500.0,,,35.69,,S,28.81,28.9,,Haze
KIGQ,02/01/2012 19:35 UTC,29.45,42.8,,75.5,0.0,0.0,,6.0,,,,173.0,,,,5.0,,,,,1700.0,,,35.51,,N,28.81,28.9,,Haze
