# STATION: KIGQ
# STATION NAME: Lansing Municipal Airport
# LATITUDE: 41.54125
# LONGITUDE: -87.52822
# ELEVATION [ft]: 607
# STATE: IL
Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,precip_accum_24_hour_set_1,visibility_set_1,metar_remark_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,ceiling_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,weather_condition_set_1d
,,INHG,Fahrenheit,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,code,code,Inches,Inches,code,code,Inches,Inches,Statute miles,text,text,Fahrenheit,Fahrenheit,Feet,Fahrenheit,Fahrenheit,Fahrenheit,Fahrenheit,Code,INHG,INHG,Fahrenheit,Code
KIGQ,01/01/2018 00:15 UTC,30.57,10.22,-1.66,57.79,9.22,320.0,,,,,,1.0,,,,10.0,,KIGQ 010015Z AUTO 32008KT 10SM CLR M12/M19 A3057 RMK AO2  T11211187,,,,,,-1.84,0.6,NW,29.91,30.52,,Clear
KIGQ,01/01/2018 00:35 UTC,30.57,9.5,-2.2,58.17,8.05,320.0,,,,,,1.0,,,,10.0,,KIGQ 010035Z AUTO 32007KT 10SM CLR M12/M19 A3057 RMK AO2  T11251190,,,,,,-2.38,0.65,NW,29.91,30.53,,Clear
KIGQ,01/01/2018 00:55 UTC,30.58,8.78,-1.48,62.19,6.91,310.0,,,,,,1.0,,,,10.0,,KIGQ 010055Z AUTO 31006KT 10SM CLR M13/M19 A3058 RMK AO2  T11291186,,,,,,-1.64,,NW,29.92,30.54,,Clear
KIGQ,01/01/2018 01:15 UTC,30.59,8.24,-1.66,63.18,9.22,310.0,,,,,,1.0,,,,10.0,,KIGQ 010115Z AUTO 31008KT 10SM CLR M13/M19 A3059 RMK AO2  T11321187,,,,,,-1.81,-1.75,NW,29.92,30.54,,Clear
KIGQ,01/01/2018 01:35 UTC,30.59,7.7,-2.2,63.1,10.36,310.0,,,,,,1.0,,,,10.0,,KIGQ 010135Z AUTO 31009KT 10SM CLR M13/M19 A3059 RMK AO2  T11351190,,,,,,-2.35,-3.2,NW,29.92,30.54,,Clear
KIGQ,01/01/2018 01:55 UTC,30.59,6.98,-3.1,62.45,9.22,330.0,,,,,,1.0,,,,10.0,,KIGQ 010155Z AUTO 33008KT 10SM CLR M14/M19 A3059 RMK AO2  T11391195,,,,,,-3.25,-3.24,NNW,29.92,30.55,,Clear
KIGQ,01/01/2018 02:15 UTC,30.59,6.62,-2.74,64.59,8.05,300.0,,,,,,1.0,,,,10.0,,KIGQ 010215Z AUTO 30007KT 10SM CLR M14/M19 A3059 RMK AO2  T11411193,,,,,,-2.89,-2.73,WNW,29.92,30.55,,Clear
KIGQ,01/01/2018 02:35 UTC,30.6,5.72,-3.28,65.59,8.05,300.0,,,,,,1.0,,,,10.0,,KIGQ 010235Z AUTO 30007KT 10SM CLR M15/M20 A3060 RMK AO2  T11461196,,,,,,-3.42,-3.79,WNW,29.93,30.56,,Clear
KIGQ,01/01/2018 02:55 UTC,30.6,5.36,-4.18,63.86,9.22,320.0,,,,,,1.0,,,,10.0,,KIGQ 010255Z AUTO 32008KT 10SM CLR M15/M20 A3060 RMK AO2  T11481201,,,,,,-4.32,-5.16,NW,29.93,30.57,,Clear
KIGQ,01/01/2018 03:15 UTC,30.6,4.82,-4.0,66.03,9.22,310.0,,,,,,1.0,,,,10.0,,KIGQ 010315Z AUTO 31008KT 10SM CLR M15/M20 A3060 RMK AO2  T11511200,,,,,,-4.14,-5.81,NW,29.93,30.57,,Clear
KIGQ,01/01/2018 03:35 UTC,30.61,4.46,-4.36,65.98,10.36,300.0,,,,,,1.0,,,,10.0,,KIGQ 010335Z AUTO 30009KT 10SM CLR M15/M20 A3061 RMK AO2  T11531202,,,,,,-4.5,-7.07,WNW,29.94,30.58,,Clear
