# STATION: KIGQ
# STATION NAME: Lansing Municipal Airport
# LATITUDE: 41.54125
# LONGITUDE: -87.52822
# ELEVATION [ft]: 607
# STATE: IL
Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,precip_accum_24_hour_set_1,visibility_set_1,metar_remark_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,ceiling_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,weather_condition_set_1d
,,INHG,Fahrenheit,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,code,code,Inches,Inches,code,code,Inches,Inches,Statute miles,text,text,Fahrenheit,Fahrenheit,Feet,Fahrenheit,Fahrenheit,Fahrenheit,Fahrenheit,Code,INHG,INHG,Fahrenheit,Code
KIGQ,08/01/2013 00:15 UTC,29.32,71.06,,77.56,0.0,0.0,,,,,,402.0,,,,7.0,,,,,,,,63.66,,N,28.68,27.45,,Partly Cloudy
KIGQ,08/01/2013 00:35 UTC,29.32,70.7,,78.51,0.0,0.0,,,,,,1.0,,,,7.0,,,,,,,,63.66,,N,28.68,27.45,,Clear
KIGQ,08/01/2013 00:55 UTC,29.32,69.44,,81.95,0.0,0.0,,,,,,1.0,,,,7.0,,,,,,,,63.66,,N,28.68,27.47,,Clear
KIGQ,08/01/2013 01:15 UTC,29.32,68.0,,88.29,0.0,0.0,,31.0,,,,1.0,,,,5.0,,,,,,,,64.39,,N,28.68,27.45,,Mist
KIGQ,08/01/2013 01:35 UTC,29.32,65.66,,90.44,0.0,0.0,,31.0,,,,1.0,,,,5.0,,,,,,,,62.77,,N,28.68,27.57,,Mist
KIGQ,08/01/2013 01:55 UTC,29.33,66.2,,88.2,0.0,0.0,,31.0,,,,652.0,,,,5.0,,,,,,,,62.58,,N,28.69,27.58,,Mist
KIGQ,08/01/2013 02:15 UTC,29.33,64.76,,92.14,0.0,0.0,,31.0,,,,652.0,,,,4.0,,,,,,,,62.41,,N,28.69,27.61,,Mist
KIGQ,08/01/2013 02:35 UTC,29.33,63.14,,92.67,0.0,0.0,,31.0,,,,652.0,1202.0,,,4.0,,,,,,,,60.97,,N,28.69,27.71,,Mist
KIGQ,08/01/2013 02:55 UTC,29.34,64.4,,93.89,0.0,0.0,,31.0,1204.0,,,442.0,492.0,,,5.0,,,,,12000.0,,,62.59,,N,28.7,27.62,,Mist
KIGQ,08/01/2013 03:15 UTC,29.35,67.1,,87.69,6.91,20.0,,13.0,654.0,0.01,,242.0,453.0,,,5.0,,,,,4500.0,,,63.3,,NNE,28.71,27.55,,Light Rain
KIGQ,08/01/2013 03:35 UTC,29.34,66.02,,87.08,4.61,280.0,,13.0,904.0,0.01,,262.0,803.0,,,10.0,,,,,8000.0,,,62.04,,W,28.7,27.63,,Light Rain
KIGQ,08/01/2013 03:55 UTC,29.34,65.48,,90.43,4.61,260.0,,13.0,,0.02,,904.0,,,,10.0,,,,,9000.0,,,62.58,,W,28.7,27.6,,Light Rain
KIGQ,08/01/2013 04:15 UTC,29.33,65.3,,91.57,4.61,260.0,,,,,,903.0,1104.0,,,10.0,,,,,9000.0,,,62.76,,W,28.69,27.59,,Overcast
KIGQ,08/01/2013 04:35 UTC,29.33,65.48,,92.74,3.44,290.0,,,,,,1104.0,,,,7.0,,,,,11000.0,,,63.31,,WNW,28.69,27.55,,Overcast
KIGQ,08/01/2013 04:55 UTC,29.34,65.12,,91.57,4.61,310.0,,,,,,1104.0,,,,7.0,,,,,11000.0,,,62.59,,NW,28.7,27.61,,Overcast
KIGQ,08/01/2013 05:15 UTC,29.34,64.4,,93.89,5.75,290.0,,,,,,1102.0,,,,10.0,,,,,,,,62.59,,WNW,28.7,27.62,,Partly Cloudy
KIGQ,08/01/2013 05:35 UTC,29.34,63.86,,92.11,3.44,280.0,,,,,,1102.0,,,,10.0,,,,,,,,61.51,,W,28.7,27.68,,Partly Cloudy
KIGQ,08/01/2013 05:55 UTC,29.33,63.14,,92.67,4.61,260.0,,,,,,1.0,,0.02,,10.0,,,71.06,63.14,,72.5,63.14,60.97,,W,28.69,27.71,,Clear
KIGQ,08/01/2013 06:15 UTC,29.33,62.24,,94.44,3.44,290.0,,31.0,,,,1.0,,,,5.0,,,,,,,,60.61,,WNW,28.69,27.74,,Mist
KIGQ,08/01/2013 06:35 UTC,29.33,62.6,,93.84,3.44,280.0,,31.0,,,,1.0,,,,5.0,,,,,,,,60.79,,W,28.69,27.73,,Mist
KIGQ,08/01/2013 06:55 UTC,29.32,61.88,,95.03,3.44,260.0,,31.0,,,,1.0,,,,4.0,,,,,,,,60.43,,W,28.68,27.75,,Mist
KIGQ,08/01/2013 07:15 UTC,29.32,60.98,,95.63,4.61,260.0,,31.0,,,,1.0,,,,2.0,,,,,,,,59.71,,W,28.68,27.79,,Mist
KIGQ,08/01/2013 07:35 UTC,29.32,60.98,,95.63,3.44,290.0,,31.0,,,,1.0,,,,3.0,,,,,,,,59.71,,WNW,28.68,27.79,,Mist
KIGQ,08/01/2013 07:55 UTC,29.32,60.98,,96.24,3.44,290.0,,31.0,,,,1.0,,,,5.0,,,,,,,,59.89,,WNW,28.68,27.79,,Mist
KIGQ,08/01/2013 08:15 UTC,29.32,60.98,,95.01,4.61,280.0,,,,,,1.0,,,,7.0,,,,,,,,59.53,,W,28.68,27.8,,Clear
KIGQ,08/01/2013 08:35 UTC,29.32,60.8,,93.8,0.0,0.0,,,,,,1.0,,,,7.0,,,,,,,,58.99,,N,28.68,27.83,,Clear
KIGQ,08/01/2013 08:55 UTC,29.31,60.08,,94.39,0.0,0.0,,,,,,1.0,,,,7.0,,,,,,,,58.45,,N,28.67,27.86,,Clear
KIGQ,08/01/2013 09:15 UTC,29.31,58.46,,95.58,0.0,0.0,,9.0,,,,,,,,0.5,,,,,,,,57.19,,N,28.67,27.94,,Fog
KIGQ,08/01/2013 09:35 UTC,29.31,56.48,,95.54,0.0,0.0,,9.0,,,,24.0,,,,0.25,,,,,200.0,,,55.21,,N,28.67,28.05,,Fog
KIGQ,08/01/2013 09:55 UTC,29.32,56.66,,96.17,3.44,240.0,,9.0,,,,24.0,,,,0.25,,,,,200.0,,,55.57,,WSW,28.68,28.04,,Fog
KIGQ,08/01/2013 10:15 UTC,29.32,55.58,,96.15,0.0,0.0,,9.0,,,,24.0,,,,0.25,,,,,200.0,,,54.49,,N,28.68,28.1,,Fog
KIGQ,08/01/2013 10:35 UTC,29.32,56.3,,95.54,0.0,0.0,,9.0,,,,24.0,,,,0.25,,,,,200.0,,,55.03,,N,28.68,28.07,,Fog
KIGQ,08/01/2013 10:55 UTC,29.33,58.28,,96.2,3.44,260.0,,9.0,,,,,,,,0.25,,,,,,,,57.19,,W,28.69,27.96,,Fog
KIGQ,08/01/2013 11:15 UTC,29.34,59.0,,100.0,3.44,270.0,,31.0,,,,602.0,,,,2.5,,,,,,,,59.0,,W,28.7,27.87,,Mist
KIGQ,08/01/2013 11:35 UTC,29.34,59.0,,100.0,0.0,0.0,,31.0,,,,602.0,,,,3.0,,,,,,,,59.0,,N,28.7,27.87,,Mist
KIGQ,08/01/2013 11:55 UTC,29.34,61.16,,96.24,3.44,260.0,,31.0,,,,1.0,,,0.04,4.0,,,62.96,55.4,,,,60.07,,W,28.7,27.79,,Mist
KIGQ,08/01/2013 12:15 UTC,29.34,62.78,,96.27,6.91,270.0,,,,,,1.0,,,,10.0,,,,,,,,61.69,,W,28.7,27.69,,Clear
KIGQ,08/01/2013 12:35 UTC,29.34,64.4,,93.89,6.91,280.0,,,,,,1.0,,,,10.0,,,,,,,,62.59,,W,28.7,27.62,,Clear
